,,,,,,,,,,
Dollarama Inc,,,,,,,,,,
Premium Export,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Income Statement,,,,,,,,,,
,,,,,,,,,,
,FY-9,FY-8,FY-7,FY-6,FY-5,FY-4,FY-3,FY-2,FY-1,FY
,,,,,,,,,,
Period End Date,2014-02-02,2015-02-01,2016-01-31,2017-01-29,2018-01-28,2019-02-03,2020-02-02,2021-01-31,2022-01-30,2023-01-29
,,,,,,,,,,
Revenue,"2,064.676","2,330.805","2,650.327","2,963.219","3,266.09","3,548.503","3,787.291","4,026.259","4,330.761","5,052.741"
Revenue Growth (YoY),11.1%,12.9%,13.7%,11.8%,10.2%,8.6%,6.7%,6.3%,7.6%,16.7%
,,,,,,,,,,
Cost of Revenues,"-1,094.949","-1,242.857","-1,361.125","-1,523.272","-1,665.771","-1,838.076","-2,001.917","-2,114.633","-2,281.794","-2,701.788"
Gross Profit,969.727,"1,087.948","1,289.202","1,439.947","1,600.319","1,710.427","1,785.374","1,911.626","2,048.967","2,350.953"
Gross Profit Margin,47.0%,46.7%,48.6%,48.6%,49.0%,48.2%,47.1%,47.5%,47.3%,46.5%
,,,,,,,,,,
R&D Expenses,0,0,0,0,0,0,0,0,0,0
"Selling, General & Admin Expenses",-567.325,-627.078,-691.742,-736.689,-774.207,-631.86,-684.715,-716.647,-799.574,-873.059
,,,,,,,,,,
Other Inc / (Exp),-47.898,-38.309,-48.085,-57.748,-70.55,-233.378,-229.687,-426.952,-353.676,-399.038
Operating Expenses,-615.223,-665.387,-739.827,-794.437,-844.757,-865.238,-914.402,"-1,143.599","-1,153.25","-1,272.097"
Operating Income,354.504,422.561,549.375,645.51,755.562,845.189,870.972,768.027,895.717,"1,078.856"
,,,,,,,,,,
Net Interest Expenses,-11.673,-19.956,-21.395,-33.083,-39.877,-94.597,-100.605,-2.673,-2.316,-2.749
"EBT, Incl. Unusual Items",342.831,402.605,527.98,612.427,715.685,750.592,770.367,765.354,893.401,"1,076.107"
Earnings of Discontinued Ops.,,,,,,,,,,
Income Tax Expense,-92.737,-107.195,-142.834,-166.791,-196.275,-205.606,-206.328,-201.006,-230.232,-274.244
Net Income to Company,250.094,295.41,385.146,445.636,519.41,544.986,564.039,564.348,663.169,801.863
,,,,,,,,,,
Minority Interest in Earnings,,,,,,,,,,
Net Income to Stockholders,250.094,295.41,385.146,445.636,519.41,544.986,564.039,564.348,663.169,801.863
,,,,,,,,,,
Preferred Dividends & Other Adj.,0,0,0,0,0,0,0,0,0,0
Net Income to Common Excl Extra Items,250.094,295.41,385.146,445.636,519.41,544.986,564.039,564.348,663.169,801.863
,,,,,,,,,,
Basic EPS (Cont. Ops),0.58,0.74,1.01,1.25,1.54,1.68,1.8,1.82,2.19,2.77
Diluted EPS (Cont. Ops),0.58,0.74,1,1.24,1.52,1.66,1.78,1.81,2.18,2.76
Weighted Average Basic Shares Out.,431.028,400.014,381.813,356.994,338.253,324.46,313.91,310.738,302.963,289.412
Weighted Average Diluted Shares Out.,432.276,401.868,385.26,360.729,342.519,328.404,317.185,312.455,304.416,291.005
,,,,,,,,,,
EBITDA,399.007,455.276,589.703,693.718,813.48,909.801,919.448,999.302,"1,035.084","1,239.058"
EBIT,354.504,422.561,549.375,645.51,755.562,845.189,857.874,925.346,951.433,"1,146.102"
,,,,,,,,,,
Revenue (Reported),"2,064.676","2,330.805","2,650.327","2,963.219","3,266.09","3,548.503","3,787.291","4,026.259","4,330.761","5,052.741"
Operating Income (Reported),354.504,422.561,549.375,645.51,755.562,845.189,868.137,861,984.617,"1,191.501"
Operating Income (Adjusted),354.504,422.561,549.375,645.51,755.562,845.189,857.874,925.346,951.433,"1,146.102"
